Title,Author,Publisher,Year,Quantity,Donation
Numerical Solution of Stochastic Differential Equations,P.E.Kloeden & E.Platen,Springer,1992,2,N
Introduction to Stochastic Calculus with Applications 3rd edition,F.C.Klebaner,Imperial College Press,2012,2,N
A course in Ordinary Differential Equations,R.J.Swift & S.A.Wirkus,Chapman and Hall,2006,1,N
Elementary Differential Equations and Boundary Value Problems - 5th edition,W.E.Boyce & R.C.DiPrima,Wiley,1992,1,N
Differential Equations - 2nd edition,"D.A.Sanchez, R.C.Allen Jr. & W.T.Kyner",Addison-Wesley,1988,1,N
"Ordinary Differential Equations, with Modern Applications - 2nd edition",N.Finizio & G.Ladas,Wadsworth,1982,1,Y
Ordinary Differential Equations,V.I.Arnold,MIT Press,1973,1,N
A Second Course in Elementary Differential Equations,P.Waltman,Dover Books,2004,1,N
Differential Equations with Applications,P.D.Ritger & N.J.Rose,Dover Books,2000,1,N
"Ordinary Differential Equations, an Elementary Textbook for Students of Mathematics, Engineering, and the Sciences",M.Tenenbaum & H.Pollard,Dover Books,1963,1,N
Ordinary Differential Equations,D.K.Arrowsmith & C.M.Place,Chapman and Hall,1982,1,N
Numerical Solution of Stochastic Differential Equations with Jumps in Science,E.Platen & N.Bruti-Liberati,Springer,2010,2,N
Normed Rings,M.A.Naimark,P.Noordhoff,1960,1,Y
Algebra,M.Artin,Prentice Hall,1991,1,Y
Contemporary Abstract Algebra - 2nd edition,J.A.Gallian,D.C. Heath,1990,1,Y
Algebra - 3rd edition,S.McLane & G.Birkhoff,Chelsea,1988,1,Y
Finite-Dimensional Vector Spaces - 2nd edition,P.R.Halmos,Van Nostrand,1958,1,Y
Theory and Poblems of Linear Algebra,S.Lipschutz,McGraw-Hill,1968,1,N
"Linear Algebra, Concept and Methods",M.Anthony & M.Harvey,Cambridge University Press,2012,1,N
Linear Algebra Done Right - 2nd edition,S.Axler,Springer,1997,1,N
"Linear Algebra, an Introduction - 2nd edition",A.O.Morris,Chapman and Hall,1982,1,N
Linear Algebra,G.E.Shilov,Dover Books,1971,1,N
An Introduction to Hilbert Space,N.Young,Cambridge University Press,1988,1,N
Linear Algebra - 3rd edition,S.Lang,Springer-Verlag,1987,1,Y
Introduction to Linear Algebra,M.Marcus & H.Minc,Dover Books,1988,1,Y
Numerical Analysis - 5th edition,R.L.Burden & J.D.Faires,PWS,1993,1,Y
Invitation to Dynamical Systems,E.R.Scheinerman,Prentice Hall,1996,1,N
A Transition to Advanced Mathematics - 6th edition,"D.Smith, M.Eggen & R.St.Andre",Thomson Brooks/Cole,2006,1,Y
Linear Operator Theory in Engineering and Science,A.W.Naylor & G.R.Sell,"Holt, Rinehart and Winston",1971,1,N
Lectures Notes on Elementary Topology and Geometry,I.M.Singer & J.A.Thorpe,Springer,1967,1,N
Measure Theory,P.R.Halmos,Springer,1974,1,Y
Group Theoretical Methods and their Applications,A.Fassler & E.Stiefel,Birkhauser,1992,1,Y
Elementary Number Theory,D.M.Burton,Allyn and Bacon,1976,1,Y
"The Institute of Mathematical Statistics Bulletin vol.30, n3",Various,IMS,2001,1,Y
"The Institute of Mathematical Statistics Bulletin vol.30, n5",Various,IMS,2001,1,Y
"Mathematics Magazine vol.78, n1",Various,MAA,2005,1,Y
"Mathematics Magazine vol.78, n2",Various,MAA,2005,1,Y
"Mathematics Magazine vol.78, n4",Various,MAA,2005,1,Y
"Mathematics Magazine vol.78, n5",Various,MAA,2005,1,Y
"Mathematics Magazine vol.74, n4",Various,MAA,2001,1,Y
"The American Mathematical Monthly vol.111, n7",Various,MAA,2004,1,Y
"The American Mathematical Monthly vol.118, n7",Various,MAA,2011,1,Y
"The American Mathematical Monthly vol.118, n2",Various,MAA,2011,1,Y
"The American Mathematical Monthly vol.118, n3",Various,MAA,2011,1,Y
"The American Mathematical Monthly vol.118, n4",Various,MAA,2011,1,Y
"The American Mathematical Monthly vol.118, n6",Various,MAA,2011,1,Y
"The American Mathematical Monthly vol.117, n7",Various,MAA,2010,1,Y
"The American Mathematical Monthly vol.117, n8",Various,MAA,2010,1,Y
"The American Mathematical Monthly vol.117, n9",Various,MAA,2010,1,Y
"The American Mathematical Monthly vol.117, n10",Various,MAA,2010,1,Y
"The College Mathematics Journal vol25,n1",Various,MAA,1994,1,Y
"The College Mathematics Journal vol26,n1",Various,MAA,1995,1,Y
"The College Mathematics Journal vol26,n3",Various,MAA,1995,1,Y
"The College Mathematics Journal vol26,n4",Various,MAA,1995,2,Y
"The College Mathematics Journal vol26,n5",Various,MAA,1995,1,Y
"The College Mathematics Journal vol28,n5",Various,MAA,1997,1,Y
"The College Mathematics Journal vol36,n1",Various,MAA,2005,1,Y
"The College Mathematics Journal vol36,n2",Various,MAA,2005,1,Y
"The College Mathematics Journal vol36,n4",Various,MAA,2005,1,Y
"The College Mathematics Journal vol36,n5",Various,MAA,2005,1,Y
"The College Mathematics Journal vol37,n1",Various,MAA,2006,1,Y
"The College Mathematics Journal vol37,n4",Various,MAA,2006,1,Y
"The College Mathematics Journal vol38,n1",Various,MAA,2007,1,Y
"The College Mathematics Journal vol38,n3",Various,MAA,2007,1,Y
"The College Mathematics Journal vol38,n5",Various,MAA,2007,1,Y
"The College Mathematics Journal vol39,n1",Various,MAA,2008,1,Y
"The College Mathematics Journal vol39,n3",Various,MAA,2008,2,Y
"The College Mathematics Journal vol40,n5",Various,MAA,2009,1,Y
"The College Mathematics Journal vol41,n3",Various,MAA,2010,1,Y
